corruption,severity,param,accuracy,delta_vs_clean
brightness,1,0.8,0.6945736434108527,-0.010852713178294615
brightness,2,0.6,0.6992248062015504,-0.006201550387596955
brightness,3,0.4,0.6682170542635659,-0.037209302325581395
blur,1,1.0,0.6961240310077519,-0.009302325581395432
blur,2,1.5,0.6914728682170542,-0.013953488372093092
blur,3,2.0,0.6837209302325581,-0.02170542635658923
rotation,1,10,0.6775193798449612,-0.027906976744186074
rotation,2,20,0.6434108527131783,-0.06201550387596899
rotation,3,30,0.5922480620155038,-0.11317829457364348
noise,1,0.03,0.05426356589147287,-0.6511627906976745
noise,2,0.06,0.027906976744186046,-0.6775193798449612
noise,3,0.1,0.031007751937984496,-0.6744186046511629
